Time (h),Batch ID,Penicillin concentration(P:g/L),pH(pH:pH),Temperature(T:K)
11.0,1,0.00097019,6.4917,298.14
11.2,1,0.00096956,6.4931,298.12
11.4,1,0.00096891,6.4942,298.08
11.6,1,0.00096826,6.495,298.07
11.8,1,0.0009676,6.4968,298.06
12.0,1,0.00096693,6.5002,298.04
12.2,1,0.00096622,6.5075,298.03
12.4,1,0.00096551,6.5259,297.97
12.6,1,0.00096484,6.5442,297.9
12.8,1,0.00096422,6.5424,298.57
13.0,1,0.00096365,6.5188,298.34
13.2,1,0.00096311,6.4876,298.17
13.4,1,0.00096254,6.4656,298.07
13.6,1,0.00096194,6.4611,298.0
13.8,1,0.00096128,6.4736,297.95
14.0,1,0.00096059,6.4955,297.93
14.2,1,0.00095989,6.5191,298.4
14.4,1,0.00095921,6.5331,298.25
14.6,1,0.00095857,6.5335,298.15
14.8,1,0.00095798,6.5197,298.1
15.0,1,0.00095742,6.4993,298.06
15.2,1,0.00095685,6.4821,298.04
15.4,1,0.00095625,6.4761,298.02
15.6,1,0.00095563,6.4847,298.01
15.8,1,0.00095499,6.5022,298.0
16.0,1,0.00095435,6.5185,297.99
16.2,1,0.00095358,6.507,298.07
16.4,1,0.00095282,6.488,298.13
16.6,1,0.00095204,6.4785,298.15
16.8,1,0.00095123,6.479,298.16
17.0,1,0.00095039,6.4866,298.16
17.2,1,0.00094954,6.4974,298.15
17.4,1,0.00094868,6.5072,298.13
17.6,1,0.00094784,6.5135,298.11
17.8,1,0.000947,6.5164,298.1
18.0,1,0.0009462,6.5156,298.09
18.2,1,0.0009454,6.5092,298.08
18.4,1,0.00094462,6.4998,298.08
18.6,1,0.00094384,6.4919,298.07
18.8,1,0.00094305,6.4885,298.04
19.0,1,0.00094224,6.4897,298.02
19.2,1,0.00094142,6.4951,298.0
19.4,1,0.00094059,6.5005,297.98
19.6,1,0.00093977,6.5067,297.97
19.8,1,0.00093895,6.5105,297.98
20.0,1,0.00093814,6.512,297.99
20.2,1,0.00093711,6.4901,298.09
20.4,1,0.00093607,6.4707,298.15
20.6,1,0.00093498,6.4605,298.19
20.8,1,0.00093384,6.4575,298.19
21.0,1,0.00093265,6.4567,298.18
21.2,1,0.00093141,6.4566,298.18
21.4,1,0.00093011,6.4573,298.15
21.6,1,0.00092876,6.4581,298.12
21.8,1,0.00092736,6.4584,298.11
22.0,1,0.00092591,6.4585,298.08
22.2,1,0.00092441,6.4587,298.05
22.4,1,0.00092287,6.46,298.03
22.6,1,0.00092132,6.4606,298.03
22.8,1,0.00091977,6.4609,298.04
23.0,1,0.00091823,6.4609,298.05
23.2,1,0.00091668,6.4602,298.07
23.4,1,0.00091515,6.4609,298.07
23.6,1,0.00091362,6.4625,298.06
23.8,1,0.00091209,6.4643,298.05
24.0,1,0.00091056,6.4661,298.03
24.2,1,0.015465,6.5061,297.78
24.4,1,0.032763,6.5442,298.9
24.6,1,0.049979,6.5779,298.35
24.8,1,0.067269,6.6036,298.01
25.0,1,0.08488,6.6095,297.86
25.2,1,0.10275,6.5856,298.48
25.4,1,0.12142,6.5439,298.26
25.6,1,0.14038,6.491,298.09
25.8,1,0.16038,6.4502,297.99
26.0,1,0.18051,6.4389,297.94
26.2,1,0.20077,6.4564,298.43
26.4,1,0.22149,6.4862,298.3
26.6,1,0.24241,6.5161,298.19
26.8,1,0.26351,6.5404,298.11
27.0,1,0.28543,6.5549,298.05
27.2,1,0.30762,6.5397,298.02
27.4,1,0.3298,6.5036,298.01
27.6,1,0.35212,6.4696,298.0
27.8,1,0.37468,6.4559,298.0
28.0,1,0.39754,6.4651,297.99
28.2,1,0.41529,6.485,298.01
28.4,1,0.43233,6.5076,298.02
28.6,1,0.44924,6.5267,298.03
28.8,1,0.46686,6.5376,298.03
29.0,1,0.48508,6.5334,298.03
29.2,1,0.50446,6.5124,298.03
29.4,1,0.52479,6.4872,298.03
29.6,1,0.54615,6.47,298.01
29.8,1,0.5677,6.4706,298.02
30.0,1,0.58969,6.4834,298.02
30.2,1,0.61246,6.5019,298.02
30.4,1,0.63558,6.5195,298.03
30.6,1,0.65872,6.529,298.02
30.8,1,0.68167,6.5256,298.02
31.0,1,0.70427,6.509,298.02
31.2,1,0.72684,6.4901,298.03
31.4,1,0.74975,6.48,298.03
31.6,1,0.77397,6.4817,298.02
31.8,1,0.79883,6.4932,298.02
32.0,1,0.82367,6.5059,298.01
32.2,1,0.84346,6.5146,298.03
32.4,1,0.86269,6.5151,298.05
32.6,1,0.88244,6.5085,298.06
32.8,1,0.90323,6.4977,298.07
33.0,1,0.92505,6.4903,298.07
33.2,1,0.94832,6.4867,298.06
33.4,1,0.97227,6.4892,298.05
33.6,1,0.99712,6.4973,298.04
33.8,1,1.0234,6.5073,298.03
34.0,1,1.0498,6.5142,298.02
34.2,1,1.0764,6.5153,298.02
34.4,1,1.103,6.5095,298.03
34.6,1,1.1296,6.5021,298.04
34.8,1,1.1566,6.495,298.04
35.0,1,1.1845,6.4909,298.03
35.2,1,1.2134,6.4918,298.04
35.4,1,1.2425,6.4961,298.03
35.6,1,1.2717,6.5045,298.03
35.8,1,1.3012,6.5108,298.02
36.0,1,1.3316,6.5124,298.0
36.2,1,1.3596,6.5081,298.0
36.4,1,1.3884,6.5004,298.01
36.6,1,1.4172,6.4952,298.03
36.8,1,1.4467,6.4941,298.03
37.0,1,1.4771,6.4944,298.02
37.2,1,1.5078,6.4986,298.02
37.4,1,1.5395,6.503,298.02
37.6,1,1.5719,6.5085,298.01
37.8,1,1.6041,6.5085,298.0
38.0,1,1.6367,6.505,297.99
38.2,1,1.6694,6.4998,297.99
38.4,1,1.7024,6.4962,298.0
38.6,1,1.7364,6.4973,298.0
38.8,1,1.7704,6.4999,298.0
39.0,1,1.8042,6.5018,298.01
39.2,1,1.8383,6.504,298.01
39.4,1,1.8732,6.5046,298.0
39.6,1,1.9078,6.504,298.01
39.8,1,1.9427,6.5031,298.01
40.0,1,1.9777,6.5004,298.0
40.2,1,2.0113,6.5,297.98
40.4,1,2.0445,6.4988,297.98
40.6,1,2.0785,6.4979,297.97
40.8,1,2.1127,6.4992,297.96
41.0,1,2.1468,6.5008,297.95
41.2,1,2.1814,6.503,297.94
41.4,1,2.216,6.5039,298.5
41.6,1,2.2515,6.5048,298.41
41.8,1,2.2874,6.5025,298.3
42.0,1,2.3235,6.4994,298.21
42.2,1,2.3599,6.4974,298.17
42.4,1,2.3967,6.499,298.13
42.6,1,2.4336,6.4989,298.11
42.8,1,2.471,6.5013,298.1
43.0,1,2.5083,6.5059,298.07
43.2,1,2.5457,6.5078,298.04
43.4,1,2.5829,6.5051,298.03
43.6,1,2.6205,6.5,298.02
43.8,1,2.6583,6.495,298.01
44.0,1,2.6962,6.4927,298.0
44.2,1,2.7327,6.4915,298.02
44.4,1,2.7694,6.4941,298.04
44.6,1,2.8059,6.4979,298.06
44.8,1,2.8426,6.505,298.07
45.0,1,2.8793,6.5101,298.06
45.2,1,2.9161,6.5104,298.05
45.4,1,2.9538,6.5081,298.03
45.6,1,2.9917,6.502,298.0
45.8,1,3.0301,6.4942,297.98
46.0,1,3.0683,6.4892,297.96
46.2,1,3.1064,6.4896,297.95
46.4,1,3.1443,6.4928,298.49
46.6,1,3.1825,6.4978,298.41
46.8,1,3.2209,6.5027,298.31
47.0,1,3.26,6.508,298.22
47.2,1,3.299,6.5123,298.14
47.4,1,3.3383,6.5128,298.1
47.6,1,3.3777,6.5087,298.08
47.8,1,3.4176,6.5007,298.06
48.0,1,3.4578,6.4924,298.04
48.2,1,3.4969,6.4877,298.03
48.4,1,3.5358,6.4875,298.02
48.6,1,3.5755,6.4919,298.0
48.8,1,3.6156,6.4983,298.0
49.0,1,3.6558,6.5048,297.98
49.2,1,3.6963,6.5101,297.98
49.4,1,3.7379,6.5131,297.98
49.6,1,3.7801,6.5125,297.99
49.8,1,3.8224,6.5072,298.0
50.0,1,3.8647,6.5,298.01
50.2,1,3.9012,6.4923,297.9
50.4,1,3.9376,6.489,298.45
50.6,1,3.9737,6.4893,298.27
50.8,1,4.0097,6.4933,298.1
51.0,1,4.0456,6.4984,297.97
51.2,1,4.0816,6.5031,297.89
51.4,1,4.1175,6.5053,298.21
51.6,1,4.1534,6.5063,298.13
51.8,1,4.1889,6.5043,298.04
52.0,1,4.2246,6.5031,297.97
52.2,1,4.2597,6.4994,297.94
52.4,1,4.2948,6.4969,298.16
52.6,1,4.33,6.496,298.11
52.8,1,4.365,6.4972,298.05
53.0,1,4.3998,6.4985,298.01
53.2,1,4.4352,6.5018,297.97
53.4,1,4.4704,6.5057,297.94
53.6,1,4.5057,6.5091,298.1
53.8,1,4.541,6.5106,298.06
54.0,1,4.5765,6.5112,298.01
54.2,1,4.612,6.5088,297.99
54.4,1,4.6477,6.5023,297.97
54.6,1,4.6833,6.4957,297.96
54.8,1,4.7184,6.493,297.94
55.0,1,4.7535,6.4931,298.04
55.2,1,4.7886,6.4955,298.02
55.4,1,4.8234,6.4987,297.99
55.6,1,4.8581,6.5018,297.97
55.8,1,4.8927,6.5051,297.96
56.0,1,4.9274,6.5056,297.96
56.2,1,4.9625,6.5033,297.96
56.4,1,4.9979,6.4993,297.97
56.6,1,5.0333,6.4943,297.97
56.8,1,5.0688,6.4921,297.97
57.0,1,5.1046,6.4917,297.97
57.2,1,5.1401,6.4952,297.97
57.4,1,5.1754,6.5008,297.98
57.6,1,5.2105,6.5062,297.98
57.8,1,5.2459,6.5097,297.98
58.0,1,5.2815,6.5116,297.98
58.2,1,5.3168,6.5095,297.98
58.4,1,5.3521,6.5061,297.97
58.6,1,5.3873,6.5039,297.97
58.8,1,5.4224,6.5044,297.96
59.0,1,5.4574,6.5032,297.96
59.2,1,5.4925,6.5008,297.95
59.4,1,5.5274,6.4981,297.95
59.6,1,5.562,6.4965,297.97
59.8,1,5.5969,6.4938,297.96
60.0,1,5.6316,6.4919,297.96
60.2,1,5.6664,6.4906,297.96
60.4,1,5.7011,6.492,297.96
60.6,1,5.7358,6.4959,297.96
60.8,1,5.7705,6.501,297.96
61.0,1,5.8052,6.504,297.97
61.2,1,5.8396,6.5086,297.97
61.4,1,5.8742,6.509,297.97
61.6,1,5.9086,6.5046,297.98
61.8,1,5.9428,6.5011,297.98
62.0,1,5.9772,6.4965,297.99
62.2,1,6.0116,6.4952,297.99
62.4,1,6.0461,6.4937,298.0
62.6,1,6.0806,6.4937,298.0
62.8,1,6.1147,6.4949,298.0
63.0,1,6.1489,6.4976,298.0
63.2,1,6.183,6.5018,298.0
63.4,1,6.217,6.5048,298.0
63.6,1,6.2507,6.5076,297.99
63.8,1,6.2846,6.5096,297.99
64.0,1,6.3182,6.5094,297.99
64.2,1,6.3521,6.5075,297.99
64.4,1,6.386,6.5039,298.0
64.6,1,6.42,6.5001,298.0
64.8,1,6.4537,6.4978,297.99
65.0,1,6.4874,6.4949,297.99
65.2,1,6.5209,6.4934,298.0
65.4,1,6.5544,6.4916,298.0
65.6,1,6.5874,6.493,297.99
65.8,1,6.6202,6.4978,297.99
66.0,1,6.6532,6.5026,297.99
66.2,1,6.686,6.5066,297.99
66.4,1,6.7189,6.5103,297.99
66.6,1,6.7516,6.5122,297.99
66.8,1,6.7843,6.5126,297.99
67.0,1,6.8174,6.5082,297.99
67.2,1,6.8506,6.5009,297.99
67.4,1,6.8835,6.4905,297.99
67.6,1,6.9165,6.4856,297.98
67.8,1,6.9496,6.486,297.98
68.0,1,6.9826,6.4917,297.98
68.2,1,7.0152,6.4977,297.98
68.4,1,7.0476,6.5029,297.98
68.6,1,7.0802,6.5062,297.98
68.8,1,7.1128,6.5101,297.98
69.0,1,7.1454,6.5148,297.97
69.2,1,7.1784,6.5165,297.97
69.4,1,7.2114,6.5141,297.97
69.6,1,7.2447,6.5095,297.98
69.8,1,7.2778,6.5025,297.98
70.0,1,7.3112,6.4935,297.99
70.2,1,7.3446,6.4876,298.0
70.4,1,7.378,6.4854,298.0
70.6,1,7.4114,6.4885,298.01
70.8,1,7.4447,6.4914,298.01
71.0,1,7.4777,6.4954,298.01
71.2,1,7.5105,6.4982,298.01
71.4,1,7.5434,6.5018,298.01
71.6,1,7.5762,6.5047,298.01
71.8,1,7.6086,6.508,298.01
72.0,1,7.6412,6.5079,298.0
72.2,1,7.6738,6.5078,298.0
72.4,1,7.7066,6.5056,298.0
72.6,1,7.7394,6.5034,298.01
72.8,1,7.772,6.5004,298.01
73.0,1,7.8044,6.4977,298.0
73.2,1,7.8365,6.4972,297.99
73.4,1,7.8684,6.4957,297.99
73.6,1,7.9003,6.4978,297.98
73.8,1,7.9319,6.4993,297.98
74.0,1,7.9636,6.5025,297.98
74.2,1,7.9951,6.5037,297.98
74.4,1,8.0263,6.5038,297.98
74.6,1,8.0577,6.5028,297.97
74.8,1,8.0887,6.5024,297.96
75.0,1,8.1195,6.5034,297.95
75.2,1,8.1584,6.5063,298.02
75.4,1,8.1974,6.5058,298.07
75.6,1,8.2364,6.5061,298.1
75.8,1,8.2753,6.5042,298.12
76.0,1,8.3145,6.4997,298.14
76.2,1,8.3552,6.4884,298.18
76.4,1,8.3958,6.4817,298.2
76.6,1,8.4361,6.4793,298.21
76.8,1,8.4766,6.4839,298.22
77.0,1,8.5168,6.4913,298.22
77.2,1,8.5576,6.4992,298.21
77.4,1,8.5982,6.5072,298.19
77.6,1,8.6386,6.5145,298.19
77.8,1,8.6789,6.5197,298.17
78.0,1,8.7195,6.5223,298.17
78.2,1,8.7605,6.5224,298.15
78.4,1,8.8019,6.5186,298.13
78.6,1,8.8436,6.5122,298.12
78.8,1,8.8851,6.505,298.12
79.0,1,8.927,6.4982,298.1
79.2,1,8.969,6.4918,298.08
79.4,1,9.0112,6.4887,298.05
79.6,1,9.0537,6.4873,298.04
79.8,1,9.0962,6.4888,298.02
80.0,1,9.1387,6.4917,298.01
80.2,1,9.1747,6.5085,297.94
80.4,1,9.2107,6.5224,298.35
80.6,1,9.2477,6.5295,298.27
80.8,1,9.2853,6.5283,298.17
81.0,1,9.3233,6.5197,298.1
81.2,1,9.3621,6.5044,298.04
81.4,1,9.4005,6.489,298.0
81.6,1,9.4386,6.4798,297.96
81.8,1,9.4762,6.4777,297.94
82.0,1,9.5139,6.4845,298.19
82.2,1,9.5514,6.4961,298.16
82.4,1,9.5885,6.5082,298.1
82.6,1,9.6259,6.5185,298.05
82.8,1,9.6636,6.525,298.02
83.0,1,9.7019,6.5243,298.01
83.2,1,9.7403,6.5169,298.0
83.4,1,9.7783,6.5045,297.99
83.6,1,9.8159,6.4918,297.99
83.8,1,9.8527,6.4835,297.98
84.0,1,9.8896,6.4802,297.98
84.2,1,9.9259,6.4856,297.97
84.4,1,9.9618,6.4953,297.96
84.6,1,9.9969,6.5085,297.95
84.8,1,10.033,6.519,297.95
85.0,1,10.069,6.5236,297.95
85.2,1,10.105,6.5195,297.96
85.4,1,10.141,6.5106,297.96
85.6,1,10.178,6.4965,297.97
85.8,1,10.214,6.4838,297.97
86.0,1,10.251,6.4771,297.97
86.2,1,10.287,6.4791,297.98
86.4,1,10.322,6.485,297.98
86.6,1,10.358,6.4941,297.97
86.8,1,10.393,6.5043,297.97
87.0,1,10.428,6.5136,297.97
87.2,1,10.463,6.5194,297.97
87.4,1,10.499,6.5182,297.97
87.6,1,10.536,6.5094,297.98
87.8,1,10.573,6.5,297.99
88.0,1,10.611,6.4928,298.0
88.2,1,10.647,6.4875,298.0
88.4,1,10.685,6.4853,298.01
88.6,1,10.722,6.4877,298.02
88.8,1,10.759,6.4938,298.02
89.0,1,10.796,6.5024,298.02
89.2,1,10.833,6.5094,298.02
89.4,1,10.869,6.516,298.01
89.6,1,10.907,6.5179,298.02
89.8,1,10.945,6.5152,298.02
90.0,1,10.984,6.5085,298.03
90.2,1,11.023,6.5016,298.03
90.4,1,11.061,6.4943,298.03
90.6,1,11.1,6.4919,298.04
90.8,1,11.138,6.4947,298.04
91.0,1,11.177,6.498,298.03
91.2,1,11.216,6.4996,298.03
91.4,1,11.255,6.5042,298.02
91.6,1,11.293,6.5081,298.02
91.8,1,11.331,6.5109,298.01
92.0,1,11.37,6.5092,298.01
92.2,1,11.408,6.5063,298.01
92.4,1,11.447,6.5016,298.01
92.6,1,11.485,6.4979,298.02
92.8,1,11.523,6.4958,298.02
93.0,1,11.561,6.4944,298.02
93.2,1,11.598,6.4947,298.01
93.4,1,11.636,6.496,298.01
93.6,1,11.673,6.5003,298.01
93.8,1,11.71,6.5057,298.0
94.0,1,11.747,6.5116,298.0
94.2,1,11.784,6.5133,298.0
94.4,1,11.822,6.5105,298.0
94.6,1,11.859,6.5041,298.0
94.8,1,11.896,6.4976,298.0
95.0,1,11.933,6.4924,297.99
95.2,1,11.97,6.4917,297.99
95.4,1,12.006,6.4948,297.99
95.6,1,12.043,6.5009,297.99
95.8,1,12.08,6.5056,297.99
96.0,1,12.117,6.508,297.99
96.2,1,12.154,6.5089,297.99
96.4,1,12.19,6.5088,297.99
96.6,1,12.226,6.5039,297.99
96.8,1,12.263,6.4996,297.98
97.0,1,12.299,6.4957,297.99
97.2,1,12.335,6.495,297.99
97.4,1,12.371,6.4966,297.99
97.6,1,12.408,6.501,298.0
97.8,1,12.444,6.5048,298.0
98.0,1,12.481,6.506,298.0
98.2,1,12.517,6.5059,298.0
98.4,1,12.553,6.5056,297.99
98.6,1,12.59,6.5034,297.99
98.8,1,12.626,6.4992,297.99
99.0,1,12.663,6.4964,297.99
99.2,1,12.699,6.4978,297.99
99.4,1,12.735,6.5007,297.99
99.6,1,12.77,6.5029,297.98
99.8,1,12.806,6.5044,297.98
100.0,1,12.841,6.5043,297.98
100.2,1,12.876,6.5303,297.98
100.4,1,12.912,6.5419,297.98
100.6,1,12.951,6.5295,298.0
100.8,1,12.989,6.503,298.01
101.0,1,13.028,6.4767,298.02
101.2,1,13.067,6.4634,298.02
101.4,1,13.106,6.4658,298.03
101.6,1,13.146,6.482,298.03
101.8,1,13.186,6.5054,298.03
102.0,1,13.227,6.5276,298.04
102.2,1,13.267,6.51,298.05
102.4,1,13.308,6.4914,298.05
102.6,1,13.349,6.4782,298.04
102.8,1,13.39,6.4744,298.04
103.0,1,13.431,6.4798,298.03
103.2,1,13.471,6.49,298.02
103.4,1,13.512,6.4998,298.01
103.6,1,13.551,6.5096,298.0
103.8,1,13.591,6.5149,298.0
104.0,1,13.631,6.5173,297.99
104.2,1,13.671,6.5163,297.99
104.4,1,13.71,6.512,297.98
104.6,1,13.749,6.5065,297.98
104.8,1,13.787,6.5009,297.98
105.0,1,13.825,6.495,297.98
105.2,1,13.864,6.4919,297.98
105.4,1,13.902,6.4904,297.98
105.6,1,13.94,6.4929,297.98
105.8,1,13.978,6.4979,297.98
106.0,1,14.016,6.5044,297.98
106.2,1,14.054,6.5099,297.99
106.4,1,14.092,6.5123,297.99
106.6,1,14.13,6.5113,297.99
106.8,1,14.168,6.5065,298.0
107.0,1,14.207,6.5008,298.0
107.2,1,14.245,6.497,298.0
107.4,1,14.283,6.4943,298.0
107.6,1,14.321,6.4958,298.0
107.8,1,14.359,6.4991,298.0
108.0,1,14.396,6.5033,298.0
108.2,1,14.434,6.5046,298.0
108.4,1,14.471,6.5054,298.0
108.6,1,14.509,6.5042,298.0
108.8,1,14.546,6.5021,298.0
109.0,1,14.583,6.5005,297.99
109.2,1,14.62,6.4986,297.99
109.4,1,14.656,6.4973,297.98
109.6,1,14.692,6.4971,297.97
109.8,1,14.728,6.4957,297.96
110.0,1,14.763,6.4953,297.95
110.2,1,14.799,6.4952,297.95
110.4,1,14.833,6.4992,298.07
110.6,1,14.869,6.5001,298.06
110.8,1,14.904,6.5022,298.04
111.0,1,14.939,6.5028,298.03
111.2,1,14.975,6.5033,298.02
111.4,1,15.01,6.5019,298.01
111.6,1,15.045,6.502,298.0
111.8,1,15.08,6.5016,298.0
112.0,1,15.115,6.5016,297.99
112.2,1,15.149,6.5019,297.99
112.4,1,15.183,6.5031,297.98
112.6,1,15.218,6.5042,297.98
112.8,1,15.252,6.504,297.98
113.0,1,15.287,6.5047,297.98
113.2,1,15.321,6.5065,297.98
113.4,1,15.356,6.5064,297.98
113.6,1,15.393,6.5031,297.99
113.8,1,15.43,6.499,298.0
114.0,1,15.467,6.4956,298.01
114.2,1,15.504,6.4959,298.01
114.4,1,15.54,6.4987,298.01
114.6,1,15.577,6.5025,298.01
114.8,1,15.614,6.5061,298.02
115.0,1,15.651,6.5086,298.01
115.2,1,15.688,6.5086,298.01
115.4,1,15.725,6.51,298.01
115.6,1,15.762,6.509,298.01
115.8,1,15.798,6.5041,298.0
116.0,1,15.834,6.4992,298.0
116.2,1,15.87,6.495,297.99
116.4,1,15.907,6.4926,297.99
116.6,1,15.943,6.4936,297.99
116.8,1,15.98,6.4971,297.99
117.0,1,16.017,6.5,297.99
117.2,1,16.055,6.5023,297.99
117.4,1,16.092,6.506,298.0
117.6,1,16.129,6.5078,298.0
117.8,1,16.167,6.506,298.01
118.0,1,16.205,6.503,298.01
118.2,1,16.244,6.5003,298.02
118.4,1,16.282,6.4991,298.02
118.6,1,16.32,6.4976,298.03
118.8,1,16.358,6.4989,298.03
119.0,1,16.396,6.5001,298.03
119.2,1,16.433,6.5008,298.03
119.4,1,16.471,6.5012,298.03
119.6,1,16.508,6.4989,298.03
119.8,1,16.546,6.4968,298.03
120.0,1,16.583,6.4984,298.03
120.2,1,16.621,6.4994,298.03
120.4,1,16.659,6.5014,298.04
120.6,1,16.697,6.5031,298.04
120.8,1,16.734,6.5038,298.04
121.0,1,16.772,6.5037,298.05
121.2,1,16.809,6.5043,298.05
121.4,1,16.846,6.5051,298.05
121.6,1,16.883,6.5043,298.05
121.8,1,16.919,6.505,298.04
122.0,1,16.955,6.5055,298.03
122.2,1,16.992,6.505,298.03
122.4,1,17.029,6.5015,298.03
122.6,1,17.065,6.5011,298.03
122.8,1,17.102,6.5006,298.02
123.0,1,17.139,6.4991,298.02
123.2,1,17.176,6.4977,298.02
123.4,1,17.213,6.4964,298.01
123.6,1,17.25,6.4975,298.01
123.8,1,17.286,6.4998,298.0
124.0,1,17.322,6.5017,297.99
124.2,1,17.359,6.5038,297.99
124.4,1,17.396,6.5044,297.99
124.6,1,17.432,6.5059,297.99
124.8,1,17.469,6.5071,297.98
125.0,1,17.505,6.5049,297.98
125.2,1,17.541,6.501,297.98
125.4,1,17.577,6.4977,297.98
125.6,1,17.613,6.4965,297.98
125.8,1,17.649,6.4961,297.98
126.0,1,17.685,6.4977,297.98
126.2,1,17.72,6.4996,297.98
126.4,1,17.757,6.5016,297.98
126.6,1,17.793,6.5032,297.98
126.8,1,17.83,6.5041,297.99
127.0,1,17.868,6.5034,297.99
127.2,1,17.906,6.5014,298.0
127.4,1,17.943,6.5016,298.0
127.6,1,17.979,6.503,297.99
127.8,1,18.015,6.503,298.0
128.0,1,18.052,6.5019,298.0
128.2,1,18.089,6.4997,298.0
128.4,1,18.125,6.499,298.0
128.6,1,18.161,6.5001,298.0
128.8,1,18.198,6.5014,297.99
129.0,1,18.235,6.5021,297.99
129.2,1,18.271,6.5027,297.98
129.4,1,18.308,6.5027,297.98
129.6,1,18.343,6.5022,297.97
129.8,1,18.379,6.5014,297.97
130.0,1,18.415,6.5005,297.97
130.2,1,18.451,6.5284,297.97
130.4,1,18.488,6.5431,297.97
130.6,1,18.525,6.5337,297.97
130.8,1,18.564,6.5051,297.98
131.0,1,18.603,6.4758,297.99
131.2,1,18.641,6.463,298.0
131.4,1,18.679,6.4708,298.0
131.6,1,18.717,6.4927,298.0
131.8,1,18.755,6.5171,298.0
132.0,1,18.794,6.5347,298.01
132.2,1,18.834,6.5057,298.01
132.4,1,18.873,6.4754,298.02
132.6,1,18.912,6.4619,298.02
132.8,1,18.951,6.4639,298.02
133.0,1,18.989,6.4762,298.01
133.2,1,19.027,6.4917,298.01
133.4,1,19.065,6.5068,298.01
133.6,1,19.103,6.5186,298.01
133.8,1,19.141,6.5257,298.0
134.0,1,19.18,6.5251,298.01
134.2,1,19.219,6.5186,298.02
134.4,1,19.259,6.507,298.03
134.6,1,19.298,6.4957,298.03
134.8,1,19.337,6.4886,298.04
135.0,1,19.376,6.4868,298.04
135.2,1,19.415,6.4892,298.03
135.4,1,19.453,6.492,298.02
135.6,1,19.491,6.4971,298.01
135.8,1,19.528,6.5025,298.0
136.0,1,19.565,6.5072,297.99
136.2,1,19.601,6.509,297.98
136.4,1,19.638,6.509,297.98
136.6,1,19.674,6.508,297.97
136.8,1,19.711,6.5057,297.98
137.0,1,19.748,6.5031,297.97
137.2,1,19.785,6.4999,297.97
137.4,1,19.821,6.4981,297.97
137.6,1,19.856,6.4981,297.97
137.8,1,19.893,6.4991,297.96
138.0,1,19.929,6.5001,297.96
138.2,1,19.965,6.5032,297.97
138.4,1,20.001,6.5049,297.97
138.6,1,20.036,6.5054,297.97
138.8,1,20.071,6.5028,297.96
139.0,1,20.106,6.5004,297.96
139.2,1,20.141,6.4979,297.96
139.4,1,20.176,6.498,297.95
139.6,1,20.211,6.4991,297.95
139.8,1,20.245,6.5005,298.03
140.0,1,20.28,6.4998,298.03
140.2,1,20.314,6.5006,298.02
140.4,1,20.348,6.5041,298.01
140.6,1,20.382,6.5065,298.0
140.8,1,20.416,6.5056,297.99
141.0,1,20.451,6.5016,297.99
141.2,1,20.487,6.4972,297.99
141.4,1,20.523,6.4942,297.99
141.6,1,20.559,6.4938,297.99
